Date,Price,Open,High,Low,Vol.,Change %
01/01/2000,18.25,22.79,23,17.83,407.52M,-20.79%
02/01/2000,16.25,18.33,20.04,14.48,690.09M,-10.96%
03/01/2000,18.83,16.62,20.25,15.21,695.35M,15.88%
04/01/2000,18.46,18.87,21.65,17.25,408.63M,-1.96%
05/01/2000,19.21,18.79,20,16.5,433.22M,4.06%
06/01/2000,19.21,19.04,20.02,17.21,388.87M,0.00%
07/01/2000,18.42,19.08,20.98,18.08,321.88M,-4.11%
08/01/2000,15.87,18,19.21,15.71,577.43M,-13.84%
09/01/2000,16.04,15.85,18.25,15.62,452.86M,1.07%
10/01/2000,15.12,16.06,16.21,13.81,652.12M,-5.74%
11/01/2000,17.4,15.5,17.4,14.19,589.14M,15.08%
12/01/2000,17.71,17.54,18.65,15.65,518.36M,1.78%
01/01/2001,18.93,17.71,19.58,16.81,539.79M,6.89%
02/01/2001,16.7,18.93,18.93,16.02,410.86M,-11.78%
03/01/2001,16.83,16.42,17.3,15.07,508.59M,0.78%
04/01/2001,17.25,16.67,17.77,15.8,450.01M,2.50%
05/01/2001,17.25,17.24,18.25,17,439.75M,0.00%
06/01/2001,16.27,17.18,17.48,16,367.78M,-5.68%
07/01/2001,18.63,16.32,18.83,15.57,462.35M,14.51%
08/01/2001,16.02,18.47,18.92,15.75,454.40M,-14.01%
09/01/2001,16.5,16.08,16.65,14,523.09M,3.00%
10/01/2001,17.13,16.5,18.25,16.05,563.92M,3.82%
11/01/2001,18.38,17.07,18.75,16.95,474.21M,7.30%
12/01/2001,19.18,18.35,19.58,17.68,406.94M,4.35%
01/01/2002,19.99,19.22,19.99,18.13,452.46M,4.22%
02/01/2002,20.67,19.9,20.96,19.37,455.26M,3.40%
03/01/2002,20.43,20.73,21.31,20.1,455.12M,-1.16%
04/01/2002,18.62,20.12,20.62,18.49,521.76M,-8.86%
05/01/2002,18.03,18.53,19.77,17.87,522.54M,-3.17%
06/01/2002,18.34,18.06,19.63,17.33,596.67M,1.72%
07/01/2002,16.39,18.43,18.9,14.57,771.00M,-10.63%
08/01/2002,17.83,16.33,18.26,15.06,648.74M,8.79%
09/01/2002,16.41,17.62,19,16.03,567.92M,-7.96%
